ID,Facility Name,Province,Facility Type,District,sub District
1093,MM Mopeli Hosp,Free State,Regional Hospital,Thabo Mofutsanyane DM,Maluti a Phofung LM
1094,Monontsha,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1095,Mphatlalatsane,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1096,Namahali,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1097,Nthabiseng,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1098,Paballong,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1099,Phuthaditjhaba,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1100,Qholaqhwe,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1101,Riverside,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1102,Sekamotho Mota,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1103,Tebang,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1104,Thaba Bosiu,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1105,Thabang,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1106,Thebe Hosp,Free State,District Hospital,Thabo Mofutsanyane DM,Maluti a Phofung LM
1107,Tina Moloi,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1108,Tlholong,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1109,Tseki,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1110,Tshiame A,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1111,Tshiame B,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1112,Tshirela,Free State,Clinic,Thabo Mofutsanyane DM,Maluti a Phofung LM
1113,193 Condom Clinic,Free State,Clinic,Thabo Mofutsanyane DM,Nketoana LM
1114,Leratswana,Free State,Clinic,Thabo Mofutsanyane DM,Nketoana LM
1115,Leseding,Free State,Clinic,Thabo Mofutsanyane DM,Nketoana LM
1116,Lindley,Free State,Clinic,Thabo Mofutsanyane DM,Nketoana LM
1117,Nketoana Hosp,Free State,District Hospital,Thabo Mofutsanyane DM,Nketoana LM
1118,Petsana,Free State,Clinic,Thabo Mofutsanyane DM,Nketoana LM
1119,Rearabetswe (PS),Free State,Clinic,Thabo Mofutsanyane DM,Nketoana LM
1120,Reitz,Free State,Clinic,Thabo Mofutsanyane DM,Nketoana LM
1121,195 Condom Clinic,Free State,Clinic,Thabo Mofutsanyane DM,Phumelela LM
1122,Bophelong (Vrede),Free State,Clinic,Thabo Mofutsanyane DM,Phumelela LM
1123,Ezenzeleni,Free State,Clinic,Thabo Mofutsanyane DM,Phumelela LM
1124,Memel,Free State,Clinic,Thabo Mofutsanyane DM,Phumelela LM
1125,Phumelela Hosp,Free State,District Hospital,Thabo Mofutsanyane DM,Phumelela LM
1126,Thusa Bophelo,Free State,Clinic,Thabo Mofutsanyane DM,Phumelela LM
1127,Tshepo Themba,Free State,Clinic,Thabo Mofutsanyane DM,Phumelela LM
1128,Vrede,Free State,Clinic,Thabo Mofutsanyane DM,Phumelela LM
1129,Warden,Free State,Clinic,Thabo Mofutsanyane DM,Phumelela LM
1130,Zamani Clinic,Free State,Clinic,Thabo Mofutsanyane DM,Phumelela LM
1131,191 Condom clinic,Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1132,Boitumelo (Sen),Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1133,Clocolan,Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1134,Gethsemane HCC,Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1135,Graham Brown,Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1136,Hlohlolwane,Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1137,Itemoheng Hosp,Free State,District Hospital,Thabo Mofutsanyane DM,Setsoto LM
1138,JD Newberry Hosp,Free State,District Hospital,Thabo Mofutsanyane DM,Setsoto LM
1139,Kokelong,Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1140,Mamello CHC,Free State,Community Health Centre,Thabo Mofutsanyane DM,Setsoto LM
1141,Masebabatso,Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1142,Matwabeng,Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1143,Meqheleng,Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1144,Nothnagel,Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1145,Phomolong (Fick),Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1146,Phuthuloha Hosp,Free State,District Hospital,Thabo Mofutsanyane DM,Setsoto LM
1147,Senekal,Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1148,Soetwater,Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1149,Thambo,Free State,Clinic,Thabo Mofutsanyane DM,Setsoto LM
1150,Diamond/Diamant Hosp,Free State,District Hospital,Xhariep DM,Kopanong LM
1151,Fauresmith,Free State,Clinic,Xhariep DM,Kopanong LM
1152,Gariep,Free State,Clinic,Xhariep DM,Kopanong LM
1153,Hydropark,Free State,Clinic,Xhariep DM,Kopanong LM
1154,Itumeleng Clinic,Free State,Clinic,Xhariep DM,Kopanong LM
1155,Lephoi,Free State,Clinic,Xhariep DM,Kopanong LM
1156,Mamello (Tromp),Free State,Clinic,Xhariep DM,Kopanong LM
1157,N Mandela Clinic,Free State,Clinic,Xhariep DM,Kopanong LM
1158,Phekolong Clinic (Redd),Free State,Clinic,Xhariep DM,Kopanong LM
1159,Phillippolis,Free State,Clinic,Xhariep DM,Kopanong LM
1160,Sehularo Tau,Free State,Clinic,Xhariep DM,Kopanong LM
1161,Bophelong,Free State,Community Health Centre,Xhariep DM,Letsemeng LM
1162,Ethembeni,Free State,Clinic,Xhariep DM,Letsemeng LM
1163,Jacobsdal,Free State,Clinic,Xhariep DM,Letsemeng LM
1164,Luckhoff,Free State,Clinic,Xhariep DM,Letsemeng LM
1165,Oppermansgronde,Free State,Clinic,Xhariep DM,Letsemeng LM
1166,Embekweni Hosp,Free State,District Hospital,Xhariep DM,Mohokare LM
1167,Matlakeng,Free State,Clinic,Xhariep DM,Mohokare LM
1168,Matlakeng Hosp,Free State,District Hospital,Xhariep DM,Mohokare LM
1169,S Coetzee Hosp,Free State,District Hospital,Xhariep DM,Mohokare LM
1170,Thembalethu,Free State,Clinic,Xhariep DM,Mohokare LM
1171,W Mandela (Roux),Free State,Clinic,Xhariep DM,Mohokare LM
1172,Zastron,Free State,Clinic,Xhariep DM,Mohokare LM
1173,A Raditsela Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1174,Alra Park,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1175,Calcut Dhlephu,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1176,Duduza Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1177,First Avenue Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1178,Geluksdal Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1179,Lucky Mkhwanazi,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1180,Mothers Care,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1181,N Ngwenya CHC,Gauteng,Community Health Centre,Ekurhuleni MM,Ekurhuleni E1 SD
1182,Nigel Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1183,Pholosong Hosp,Gauteng,Regional Hospital,Ekurhuleni MM,Ekurhuleni E1 SD
1184,Phuthanang,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1185,Sanel Centre,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1186,Sead,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1187,Simunye (Brak),Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1188,Sonto Thobela,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1189,Tsakane Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E1 SD
1190,Chief A Luthuli,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E2 SD
1191,Dan Kubheka,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E2 SD
1192,East Rand Care Centr,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E2 SD
1193,Far East PHC Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E2 SD
1194,Far East Rand Hosp,Gauteng,Regional Hospital,Ekurhuleni MM,Ekurhuleni E2 SD
1195,Kemston Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E2 SD
1196,Kingsway Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E2 SD
1197,Kwa-Thema CHC,Gauteng,Community Health Centre,Ekurhuleni MM,Ekurhuleni E2 SD
1198,Lethabong,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E2 SD
1199,M Moodley Mem Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E2 SD
1200,S Thema Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E2 SD
1201,Thembelisha,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E2 SD
1202,White City,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E2 SD
1203,Barcelona,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E3 SD
1204,Daveyton East Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E3 SD
1205,Daveyton Ext,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E3 SD
1206,Daveyton Main Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E3 SD
1207,Daveyton Youth HC,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E3 SD
1208,Emaphupheni,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E3 SD
1209,Joy Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E3 SD
1210,P Moyo CHC,Gauteng,Community Health Centre,Ekurhuleni MM,Ekurhuleni E3 SD
1211,Payneville,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni E3 SD
1212,Ackermans,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N1 SD
1213,Burg/Burch/Bru Gynae,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N1 SD
1214,Dunvegan Baby,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N1 SD
1215,Erin Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N1 SD
1216,Esangweni CHC,Gauteng,Community Health Centre,Ekurhuleni MM,Ekurhuleni N1 SD
1217,Ethafeni Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N1 SD
1218,Kembirch Medicross,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N1 SD
1219,Landis,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N1 SD
1220,Northmead Mental,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N1 SD
1221,Olifantsfontein Clin,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N1 SD
1222,SAA Airport Med Serv,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N1 SD
1223,Tembisa CHC,Gauteng,Community Health Centre,Ekurhuleni MM,Ekurhuleni N1 SD
1224,Tembisa Hosp,Gauteng,Regional Hospital,Ekurhuleni MM,Ekurhuleni N1 SD
1225,Tembisa Main Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N1 SD
1226,Tswelopele,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N1 SD
1227,W Mandela Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N1 SD
1228,Bapsfontein,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N2 SD
1229,Birchleigh North,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N2 SD
1230,Bonaero Park,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N2 SD
1231,Crystal Park,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N2 SD
1232,Northmead Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N2 SD
1233,Bedfordview Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N3 SD
1234,Birchleigh,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N3 SD
1235,Edenvale Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N3 SD
1236,Edleen,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N3 SD
1237,Endayeni Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N3 SD
1238,Itireleng Region B,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N3 SD
1239,Kemp Park Civ Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N3 SD
1240,Kempton Medicross,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N3 SD
1241,Spartan,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N3 SD
1242,Wannenburg,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni N3 SD
1243,Alberton N Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1244,Alberton Occ Health,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1245,Avril Elizabeth Home,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1246,Bedfordv Mother/Baby,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1247,Boksburg Civ Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1248,Boksburg North,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1249,Brackenhurst,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1250,Dukathole,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1251,Elsburg Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1252,Germiston Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1253,Germiston Gateway,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1254,Germiston Hosp,Gauteng,District Hospital,Ekurhuleni MM,Ekurhuleni S1 SD
1255,Harmelia Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1256,Jet Park Occ Health,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1257,Katlehong N Clin,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1258,Leondale,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1259,Morgan Shopping,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1260,Motsamai,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1261,Natalspruit Hosp,Gauteng,Regional Hospital,Ekurhuleni MM,Ekurhuleni S1 SD
1262,Natalspruit PHC Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1263,Reiger Park Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1264,Rondebult Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1265,Sue Beddy/Dr Smith,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1266,Tamaho,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1267,Tambo Mem PHC Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1268,Tambo Memorial Hosp,Gauteng,Regional Hospital,Ekurhuleni MM,Ekurhuleni S1 SD
1269,Van Dyk Park Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S1 SD
1270,Dresser Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S2 SD
1271,Eden Park Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S2 SD
1272,Goba Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S2 SD
1273,Greenfields,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S2 SD
1274,Khumalo,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S2 SD
1275,Palmridge Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S2 SD
1276,Phenduka,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S2 SD
1277,Phola Park CHC,Gauteng,Community Health Centre,Ekurhuleni MM,Ekurhuleni S2 SD
1278,Phomolong Chronics,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S2 SD
1279,Ramokonopi CHC,Gauteng,Community Health Centre,Ekurhuleni MM,Ekurhuleni S2 SD
1280,Dawn Park,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S3 SD
1281,J Dumane CHC,Gauteng,Community Health Centre,Ekurhuleni MM,Ekurhuleni S3 SD
1282,Magagula,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S3 SD
1283,Moleleki,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S3 SD
1284,Vosloorus Ext 14,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S3 SD
1285,Vosloorus Ext 28,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S3 SD
1286,Vosloorus Ext 9,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S3 SD
1287,Vosloorus Poly Clin,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S3 SD
1288,Zonkizizwe 1 Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S3 SD
1289,Zonkizizwe 2 Clinic,Gauteng,Clinic,Ekurhuleni MM,Ekurhuleni S3 SD
1290,Bophelong R 2 Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1291,Diepsloot South Clin,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1292,Ebony/Kaalfontein,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1293,Ekukhanyeni Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1294,Eskom College,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1295,Halfway House,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1296,Head Office Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1297,Hikhensile,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1298,Mid West Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1299,Mpumelelo Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1300,OR Tambo,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1301,Rabie Ridge,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1302,Reproductive Choices,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1303,Thuthukani,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1304,Witkoppen Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg A SD
1305,Berario,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1306,Bosmont,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1307,Claremont,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1308,Crosby,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1309,Flora/Wilgeheuwel,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1310,Helen Joseph Hosp,Gauteng,Regional Hospital,Johannesburg Metro Municipality,Johannesburg B SD
1311,Parkhurst,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1312,Raheema Moosa Hosp,Gauteng,Regional Hospital,Johannesburg Metro Municipality,Johannesburg B SD
1313,Randburg Blue Cross,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1314,Randburg Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1315,Randburg PP,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1316,Riverlea Ext,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1317,Riverlea Maj Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1318,Riverlea Oral Health,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1319,Rosebank Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1320,Sophiatown,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1321,Triomf Medicross,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1322,Westbury Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1323,Windsor,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg B SD
1324,Bophelong R 6 Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1325,Davidsonville,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1326,Discoverers CHC,Gauteng,Community Health Centre,Johannesburg Metro Municipality,Johannesburg C SD
1327,Florida,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1328,Hadeco FP,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1329,Helderkruin,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1330,Intercare,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1331,Maraisburg,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1332,Olivedale Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1333,Pick n Pay (Northg),Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1334,Pick n Pay (Princ),Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1335,Princess,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1336,Rex Street,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1337,Siphumlile,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1338,Tshepisong Portacab,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1339,Weltevreden,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1340,Zandspruit,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg C SD
1341,Chiawelo CHC,Gauteng,Community Health Centre,Johannesburg Metro Municipality,Johannesburg D SD
1342,Chiawelo LA,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1343,Chris Hani Hosp,Gauteng,National Central Hospital,Johannesburg Metro Municipality,Johannesburg D SD
1344,Dkloof LA,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1345,Dkloof Prov Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1346,E Motsoaledi Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1347,Eldorado X7,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1348,Green Vil Port Cabin,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1349,Itireleng CHC,Gauteng,Community Health Centre,Johannesburg Metro Municipality,Johannesburg D SD
1350,Itireleng LA,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1351,Jabavu/Vusabantu,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1352,Klipspruit West,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1353,L Ngoyi CHC,Gauteng,Community Health Centre,Johannesburg Metro Municipality,Johannesburg D SD
1354,M Maponya LA,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1355,M Maponya Prov,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1356,Mandela Sisulu,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1357,Mlands Z2 LA,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1358,Mlands Z2 Prov,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1359,Mofolo CHC,Gauteng,Community Health Centre,Johannesburg Metro Municipality,Johannesburg D SD
1360,Mofolo South,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1361,Moroka,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1362,Nokuphila,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1363,Noordgesig LA,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1364,Noordgesig Prov,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1365,Orlando LA,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1366,Orlando Prov Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1367,Protea Glen Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1368,Senaoane,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1369,Shanty Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1370,Sinqobile,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1371,Tladi LA,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1372,Tladi Prov Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1373,Zola CHC,Gauteng,Community Health Centre,Johannesburg Metro Municipality,Johannesburg D SD
1374,Zola LA,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1375,Zondi Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg D SD
1376,4th Avenue,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
1377,Alexandra 8th Avenue,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
1378,Alexandra CHC,Gauteng,Community Health Centre,Johannesburg Metro Municipality,Johannesburg E SD
1379,Alexandra East Bank,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
1380,Bezvalley,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
1381,Carstenhof Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
1382,Edenvale Hosp,Gauteng,Regional Hospital,Johannesburg Metro Municipality,Johannesburg E SD
1383,Lyndhurst Clin,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
1384,Marie Stopes (San),Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
1385,Modderfontein,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
1386,Orchards Clinic,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
1387,Petervale,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
1388,Sandown,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
1389,Sandringham,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
1390,Thoko Mngoma,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
1391,Watt Street,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
1392,Wendywood,Gauteng,Clinic,Johannesburg Metro Municipality,Johannesburg E SD
